SegmentedFilename,FishDetected,ScaleDetected,FishHeight(cm),FishWidth(cm),FishDiagonal(cm),ScaleDiagonal(cm),ScaleWidth(cm),OnePixelValue,Circumference(cm),Area(cm),AspectRatio,DiagonalToHeightRatio,AreaRatio
2024-05-28_09_41_06_(13191)_sardine_input_(0).png,yes,yes,13.0,2.0,13.0,15.0,1.0,0.031512605042016806,30.0,30.0,0.15384615384615385,1.0236966824644549,0.10025065104166667
2024-05-28_09_41_06_(13191)_sardine_input_(1).png,yes,yes,13.0,3.0,13.0,15.0,1.0,0.031512605042016806,30.0,33.0,0.23076923076923078,1.0278422273781902,0.10987955729166667
2024-05-28_09_41_06_(13191)_sardine_input_(2).png,yes,yes,15.0,4.0,15.0,15.0,1.0,0.031512605042016806,36.0,41.0,0.26666666666666666,1.0375782881002087,0.13525716145833333
2024-05-28_09_41_26_(13192)_sardine_input_(0).png,yes,yes,15.0,4.0,16.0,15.0,1.0,0.03289473684210526,38.0,40.0,0.26666666666666666,1.0313152400835073,0.1204150390625
2024-05-28_09_41_26_(13192)_sardine_input_(1).png,yes,yes,13.0,2.0,13.0,15.0,1.0,0.03289473684210526,30.0,24.0,0.15384615384615385,1.0218446601941749,0.07406087239583334
2024-05-28_09_41_26_(13192)_sardine_input_(2).png,yes,yes,14.0,4.0,14.0,15.0,1.0,0.03289473684210526,33.0,30.0,0.2857142857142857,1.0412844036697249,0.09104166666666667
2024-05-28_09_43_36_(13193)_sardine_input_(0).png,yes,yes,15.0,3.0,15.0,15.0,1.0,0.03138075313807531,34.0,32.0,0.2,1.0271398747390397,0.10718912760416667
2024-05-28_09_43_36_(13193)_sardine_input_(1).png,yes,yes,15.0,5.0,16.0,15.0,1.0,0.03138075313807531,37.0,41.0,0.3333333333333333,1.0753138075313808,0.13734375
2024-05-28_09_43_36_(13193)_sardine_input_(2).png,yes,yes,14.0,5.0,15.0,15.0,1.0,0.03138075313807531,35.0,38.0,0.35714285714285715,1.0546218487394958,0.12591796875
2024-05-28_09_43_50_(13194)_sardine_input_(0).png,yes,yes,14.0,3.0,14.0,15.0,2.0,0.03275109170305677,33.0,38.0,0.21428571428571427,1.0272727272727273,0.11605305989583334
