SegmentedFilename,FishDetected,FishHeight(cm),FishWidth(cm),FishDiagonal(cm),ScaleDiagonal(cm),ScaleWidth(cm),OnePixelValue,Circumference(cm),Area(cm),AspectRatio,DiagonalToHeightRatio,AreaRatio,ScaleDetected
20240919092526983_sardine_good_(0).png,yes,18.0,4.0,18.0,15.0,1.0,0.004860661049902786,45.0,54.0,0.2222222222222222,1.0269200316706255,0.19246658333333333,yes
20240919092543016_sardine_good_(0).png,yes,16.0,3.0,16.0,15.0,2.0,0.004232505643340858,38.0,47.0,0.1875,1.0279415534478338,0.21874570833333334,yes
20240919092553924_sardine_good_(0).png,yes,16.0,3.0,16.0,15.0,2.0,0.004345307068366165,42.0,49.0,0.1875,1.028722002635046,0.21667833333333333,yes
20240919092653490_sardine_good_(0).png,yes,17.0,4.0,18.0,15.0,1.0,0.004559270516717325,45.0,47.0,0.23529411764705882,1.0285423037716617,0.19045129166666666,yes
20240919092713497_sardine_good_(0).png,yes,17.0,3.0,18.0,15.0,2.0,0.004804612427930814,44.0,50.0,0.17647058823529413,1.0250272034820458,0.18337804166666666,yes
20240919092730273_sardine_good_(0).png,yes,16.0,4.0,17.0,15.0,1.0,0.004503152206544582,41.0,39.0,0.25,1.035841313269494,0.16197983333333332,yes
20240919092738949_sardine_good_(0).png,yes,19.0,4.0,19.0,15.0,1.0,0.004961958319550115,45.0,51.0,0.21052631578947367,1.0221642764015646,0.17351258333333333,yes
20240919092751091_sardine_good_(0).png,yes,17.0,4.0,17.0,15.0,1.0,0.0046282011724776305,43.0,46.0,0.23529411764705882,1.027122321670735,0.182347875,yes
20240919092758424_sardine_good_(0).png,yes,16.0,3.0,16.0,15.0,1.0,0.004420866489832007,40.0,43.0,0.1875,1.0261011419249593,0.18587975,yes
20240919092811734_sardine_good_(0).png,yes,17.0,4.0,18.0,15.0,1.0,0.004733354370463868,44.0,50.0,0.23529411764705882,1.0294117647058822,0.18700508333333332,yes
20240919092824522_sardine_good_(0).png,yes,19.0,4.0,19.0,15.0,1.0,0.005167068549776094,47.0,60.0,0.21052631578947367,1.028869286287089,0.18921866666666667,yes
20240919092837333_sardine_good_(0).png,yes,17.0,4.0,17.0,15.0,2.0,0.004715498270983967,41.0,51.0,0.23529411764705882,1.0331506849315069,0.19191908333333332,yes
20240919092847184_sardine_good_(0).png,yes,16.0,4.0,16.0,15.0,2.0,0.00427715996578272,38.0,45.0,0.25,1.0303426628302381,0.208156125,yes
20240919092855463_sardine_good_(0).png,yes,16.0,4.0,16.0,15.0,2.0,0.004283266704740148,42.0,49.0,0.25,1.0319706498951782,0.22490366666666667,yes
20240919092907143_sardine_good_(0).png,yes,16.0,3.0,17.0,15.0,1.0,0.004584352078239609,42.0,46.0,0.1875,1.026812585499316,0.184062,yes
20240919092928230_sardine_good_(0).png,yes,17.0,4.0,17.0,15.0,2.0,0.0046168051708217915,42.0,46.0,0.23529411764705882,1.0318574514038876,0.18224108333333333,yes
20240919092947028_sardine_good_(0).png,yes,15.0,4.0,16.0,15.0,2.0,0.0042796005706134095,38.0,44.0,0.26666666666666666,1.0359085963003265,0.200220875,yes
