                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.91528,                 1.9762,                0.64886,                 1.0203,                0.88117,                0.80374,                0.86259,                0.66311,                0.58197,                0.48418,                0.46425,                0.30767,                0.91098,                 1.7541,                0.75931,                 1.0698,               0.006238,               0.006238,               0.006238
                     78,                0.91017,                 1.9618,                0.64829,                 1.0209,                0.80875,                0.85273,                 0.8667,                0.65288,                0.50738,                0.52512,                0.47498,                  0.309,                0.93669,                 1.7547,                0.73151,                 1.0951,              0.0061885,              0.0061885,              0.0061885
                     79,                0.91428,                 1.9761,                0.64297,                 1.0204,                0.83655,                0.84383,                 0.8654,                0.65506,                 0.5424,                0.51582,                0.47234,                 0.3074,                0.93987,                 1.7491,                0.72275,                 1.1131,               0.006139,               0.006139,               0.006139
                     80,                 0.9089,                   1.93,                0.64343,                  1.019,                0.87815,                0.78879,                 0.8608,                0.65376,                0.52638,                0.50967,                0.47176,                0.31713,                0.93154,                 1.7784,                0.73791,                 1.0891,              0.0060895,              0.0060895,              0.0060895
                     81,                0.91575,                 1.9118,                0.64881,                 1.0208,                0.79379,                0.85247,                0.86136,                0.65483,                0.51295,                   0.52,                0.46237,                0.30356,                0.92782,                 1.7273,                0.74732,                 1.0928,                0.00604,                0.00604,                0.00604
                     82,                0.90622,                 1.8887,                0.64367,                 1.0167,                0.81856,                0.82958,                0.85333,                0.64484,                0.53976,                0.52138,                0.47403,                0.30811,                0.93305,                 1.7611,                0.73432,                 1.1036,              0.0059905,              0.0059905,              0.0059905
                     83,                 0.8988,                  1.924,                0.63634,                 1.0106,                0.83056,                0.84294,                0.86305,                0.65531,                0.55651,                0.53294,                0.47862,                0.31642,                0.90989,                 1.7384,                0.71997,                 1.0912,               0.005941,               0.005941,               0.005941
                     84,                0.91789,                 1.8683,                0.64344,                 1.0191,                0.86992,                0.84374,                0.87691,                0.66675,                0.56186,                0.52348,                0.48324,                0.32124,                0.92134,                 1.7237,                0.72804,                 1.0916,              0.0058915,              0.0058915,              0.0058915
                     85,                0.91356,                 1.9066,                   0.64,                 1.0202,                0.82996,                0.83845,                0.86367,                0.66017,                0.54196,                0.51264,                0.46656,                0.31309,                0.91888,                 1.7588,                0.75768,                 1.0947,               0.005842,               0.005842,               0.005842
                     86,                0.89702,                 1.9117,                0.63122,                 1.0117,                0.86132,                0.82162,                0.86292,                0.65607,                0.53975,                0.48931,                0.46251,                0.31493,                0.92999,                 1.7519,                0.74101,                 1.0933,              0.0057925,              0.0057925,              0.0057925
                     87,                0.88599,                 1.8975,                 0.6237,                 1.0071,                0.80002,                0.85183,                0.85692,                0.66053,                0.50648,                0.50305,                0.45169,                0.30695,                0.90076,                 1.7242,                 0.7286,                 1.0774,               0.005743,               0.005743,               0.005743
                     88,                0.89388,                 1.8643,                0.62802,                  1.009,                0.83286,                 0.8363,                0.86571,                0.65429,                0.53272,                0.49797,                0.45826,                0.30282,                0.90476,                 1.7199,                0.70204,                 1.0798,              0.0056935,              0.0056935,              0.0056935
                     89,                0.89284,                 1.9317,                0.62416,                 1.0107,                0.80558,                0.84386,                   0.86,                0.65601,                0.51095,                0.51834,                0.46527,                0.30178,                0.92478,                  1.765,                0.74161,                 1.0869,               0.005644,               0.005644,               0.005644
                     90,                0.89338,                 1.9254,                0.62336,                 1.0103,                0.83722,                0.82642,                0.85861,                0.65498,                0.53829,                0.50867,                0.47513,                0.31402,                0.90518,                 1.7069,                0.73208,                 1.0722,              0.0055945,              0.0055945,              0.0055945
                     91,                0.88515,                 1.8761,                0.61119,                 1.0021,                0.84565,                0.84802,                0.88221,                 0.6755,                0.53124,                0.51419,                0.47453,                0.31819,                0.91781,                 1.8055,                0.72513,                 1.0772,               0.005545,               0.005545,               0.005545
                     92,                0.89518,                 1.8987,                 0.6247,                 1.0101,                0.84835,                0.82766,                0.86237,                0.65895,                0.53734,                0.50559,                0.46078,                0.30246,                0.92821,                 1.8316,                0.71413,                 1.0892,              0.0054955,              0.0054955,              0.0054955
                     93,                 0.8905,                 1.8874,                0.62664,                 1.0084,                0.84341,                0.84234,                0.88049,                0.67234,                0.54916,                 0.5126,                0.46788,                0.30614,                0.89688,                 1.7726,                0.74624,                 1.0774,               0.005446,               0.005446,               0.005446
                     94,                0.88995,                 1.8866,                0.61866,                 1.0078,                0.82852,                0.86338,                 0.8721,                0.66704,                0.53271,                0.54133,                0.47994,                0.31747,                0.91869,                  1.718,                 0.7392,                 1.0776,              0.0053965,              0.0053965,              0.0053965
                     95,                0.90217,                 1.8488,                0.62633,                   1.01,                0.81924,                0.86542,                0.86729,                 0.6683,                0.52251,                 0.5304,                0.47109,                0.31625,                0.90029,                 1.7647,                0.72036,                 1.0757,               0.005347,               0.005347,               0.005347
                     96,                0.88596,                 1.8584,                0.61159,                  1.002,                0.85554,                0.83711,                0.86978,                0.67453,                0.54911,                0.50121,                0.46285,                0.30797,                0.90129,                 1.7359,                0.71497,                 1.0742,              0.0052975,              0.0052975,              0.0052975
                     97,                0.89082,                 1.9094,                0.61464,                 1.0098,                0.86512,                0.83134,                0.87722,                 0.6689,                0.56239,                0.51038,                0.47567,                0.31148,                0.89236,                 1.7447,                0.72149,                 1.0692,               0.005248,               0.005248,               0.005248
